Locus	Comment
Rv1067c	PE-PGRS family protein
Rv1068c	PE-PGRS family protein
Rv1087	PE-PGRS family protein
Rv1088	PE family protein
Rv1089	PE family protein
Rv1091	PE-PGRS family protein
Rv1128c	repeat_region
Rv1135c	PPE family protein
Rv1148c	50bp_duplicated
Rv1149	transposase
Rv1150	Possible fragment of transposase (pseu
Rv1168c	PPE family protein
Rv1169c	PE family protein
Rv1172c	PE family protein
Rv1195	PE family protein
Rv1196	PPE family protein
Rv1197	50bp_duplicated
Rv1198	50bp_duplicated
Rv1199c	transposase
Rv1214c	PE family protein
Rv1243c	PE-PGRS family protein
Rv1288	50bp_duplicated
Rv1295	50bp_duplicated
Rv1313c	transposase
Rv1318c	50bp_duplicated
Rv1319c	50bp_duplicated
Rv1325c	PE-PGRS family protein
Rv1361c	PPE family protein
Rv1369c	transposase
Rv1370c	transposase
Rv1386	PE family protein
Rv1387	PPE family protein
Rv1396c	PE-PGRS family protein
Rv1430	PE family protein
Rv1441c	PE-PGRS family protein
Rv1450c	PE-PGRS family protein
Rv1452c	PE-PGRS family protein
Rv1458c	50bp_duplicated
Rv1468c	PE-PGRS family protein
Rv1489A	50bp_duplicated
Rv1493	50bp_duplicated
Rv1548c	PPE family protein
Rv1557	repeat_region
Rv1558	repeat_region
Rv1572c	repeat_region
Rv1574	repeat_region
Rv1575	repeat_region
Rv1573	phiRV1 phage protein
Rv1574	phiRV1 phage related protein
Rv1575	phiRV1 phage protein
Rv1576c	phiRV1 phage protein
Rv1577c	phiRv1 phage protein
Rv1578c	phiRv1 phage protein
Rv1579c	phiRv1 phage protein
Rv1580c	phiRv1 phage protein
Rv1581c	phiRv1 phage protein
Rv1582c	phiRv1 phage protein
Rv1583c	phiRv1 phage protein
Rv1584c	phiRv1 phage protein
Rv1585c	phiRv1 phage protein
Rv1586c	phiRv1 integrase
Rv1587c	REP13E12 repeat-containing protein
Rv1588c	REP13E12 repeat-containing protein
Rv1646	PE family protein
Rv1651c	PE-PGRS family protein
Rv1702c	repeat_region
Rv1705c	PPE family protein
Rv1706c	PPE family protein
Rv1753c	PPE family protein
Rv1756c	putative transposase
Rv1757	putative transposase
Rv1758	putative transposase
Rv1759c	PE-PGRS family protein
Rv1763	putative transposase
Rv1764	putative transposase
Rv1765A	transposase
Rv1765c	50bp_duplicated
Rv1768	PE-PGRS family protein
Rv1787	PPE family protein
Rv1788	PE family protein
Rv1789	PPE family protein
Rv1790	PPE family protein
Rv1791	PE family protein
Rv1793	50bp_duplicated
Rv1800	PPE family protein
Rv1801	PPE family protein
Rv1802	PPE family protein
Rv1803c	PE-PGRS family protein
Rv1806	PE family protein
Rv1807	PPE family protein
Rv1808	PPE family protein
Rv1809	PPE family protein
Rv1818c	PE-PGRS family protein
Rv1829	50bp_duplicated
Rv1840c	PE-PGRS family protein
Rv1910c	50bp_duplicated
Rv1911c	50bp_duplicated
Rv1917c	PPE family protein
Rv1918c	PPE family protein
Rv1945	repeat_region
Rv1983	PE-PGRS family protein
Rv2013	transposase
Rv2014	transposase
Rv2015c	50bp_duplicated
Rv2048c	50bp_duplicated
Rv2082	50bp_duplicated
Rv2085	repeat_region
Rv2090	50bp_duplicated
Rv2105	transposase
Rv2106	transposase
Rv2107	PE family protein
Rv2108	PPE family protein
Rv2112c	50bp_duplicated
Rv2123	PPE family protein
Rv2126c	PE-PGRS family protein
Rv2162c	PE-PGRS family protein
Rv2167c	transposase
Rv2168c	transposase
Rv2177c	transposase
Rv2196	50bp_duplicated
Rv2258c	50bp_duplicated
Rv2277c	50bp_duplicated
Rv2278	transposase
Rv2279	transposase
Rv2328	PE family protein
Rv2340c	PE-PGRS family protein
Rv2346c	50bp_duplicated
Rv2347c	50bp_duplicated
Rv2352c	PPE family protein
Rv2353c	PPE family protein
Rv2354	transposase
Rv2355	transposase
Rv2356c	PPE family protein
Rv2371	PE-PGRS family protein
Rv2396	PE-PGRS family protein
Rv2408	PE family protein
Rv2424c	transposase
Rv2430c	PPE family protein
Rv2431c	PE family protein
Rv2460c	repeat_region
Rv2461c	repeat_region
Rv2479c	transposase
Rv2480c	transposase
Rv2487c	PE-PGRS family protein
Rv2489	repeat_region
Rv2490c	PE-PGRS family protein
Rv2512c	IS1081 transposase
Rv2519	PE family protein
Rv2543	50bp_duplicated
Rv2544	50bp_duplicated
Rv2591	PE-PGRS family protein
Rv2608	PPE family protein
Rv2615c	PE-PGRS family protein
Rv2634c	PE-PGRS family protein
Rv2648	transposase IS6110
Rv2649	transposase IS6110
Rv2650c	phiRv2 prophage protein
Rv2651c	phiRv2 prophage protease
Rv2652c	phiRv2 prophage protein
Rv2653c	phiRv2 prophage protein
Rv2654c	phiRv2 prophage protein
Rv2655c	phiRv2 prophage protein
Rv2656c	phiRv2 prophage protein
Rv2657c	phiRv2 prophage protein
Rv2659c	phiRv2 prophage integrase
Rv2665	50bp_duplicated
Rv2666	truncated IS1081 transposase
Rv2673	50bp_duplicated
Rv2680	50bp_duplicated
Rv2689c	50bp_duplicated
Rv2690c	repeat_region
Rv2741	PE-PGRS family protein
Rv2768c	PPE family protein
Rv2769c	PE family protein
Rv2770c	PPE family protein
Rv2774c	50bp_duplicated
Rv2791c	transposase
Rv2792c	resolvase
Rv2805	50bp_duplicated
Rv2807	50bp_duplicated
Rv2810c	transposase
Rv2812	transposase
Rv2814c	transposase
Rv2815c	transposase
Rv2825c	50bp_duplicated
Rv2828c	50bp_duplicated
Rv2853	PE-PGRS family protein
Rv2859c	50bp_duplicated
Rv2882c	50bp_duplicated
Rv2885c	transposase
Rv2886c	resolvase
Rv2892c	PPE family protein
Rv2931	50bp_duplicated
Rv2932	50bp_duplicated
Rv2943	IS1533 transposase
Rv2943A	transposase
Rv2944	IS1533 transposase
Rv2961	transposase
Rv2977c	50bp_duplicated
Rv2978c	transposase
Rv2979c	resolvase
Rv2980	50bp_duplicated
Rv3018A	PE family protein
Rv3018c	PPE family protein
Rv3021c	PPE family protein
Rv3022A	PE family protein
Rv3022c	PPE family protein
Rv3023c	transposase
Rv3097c	PE-PGRS family protein
Rv3115	transposase
Rv3125c	PPE family protein
Rv3135	PPE family protein
Rv3136	PPE family protein
Rv3144c	PPE family protein
Rv3159c	PPE family protein
Rv3184	transposase
Rv3185	transposase
Rv3186	transposase
Rv3187	transposase
Rv3191c	transposase
Rv3281	50bp_duplicated
Rv3325	transposase
Rv3326	transposase
Rv3327	transposase
Rv3343c	PPE family protein
Rv3344c	PE-PGRS family protein
Rv3345c	PE-PGRS family protein
Rv3346c	50bp_duplicated
Rv3347c	PPE family protein
Rv3348	transposase
Rv3349c	transposase
Rv3350c	PPE family protein
Rv3355c	50bp_duplicated
Rv3367	PE-PGRS family protein
Rv3380c	transposase
Rv3381c	transposase
Rv3386	transposase
Rv3387	transposase
Rv3388	PE-PGRS family protein
Rv3424c	50bp_duplicated
Rv3425	PPE family protein
Rv3426	PPE family protein
Rv3427c	transposase
Rv3428c	transposase
Rv3429	PPE family protein
Rv3430c	transposase
Rv3431c	repeat_region
Rv3466	repeat_region
Rv3467	repeat_region
Rv3474	transposase IS6110
Rv3475	transposase IS6110
Rv3477	PE family protein
Rv3478	PE family protein
Rv3507	PE-PGRS family protein
Rv3508	PE-PGRS family protein
Rv3511	PE-PGRS family protein
Rv3512	PE-PGRS family protein
Rv3513c	50bp_duplicated
Rv3514	PE-PGRS family protein
Rv3515c	50bp_duplicated
Rv3532	PPE family protein
Rv3533c	PPE family protein
Rv3539	PPE family protein
Rv3558	PPE family protein
Rv3590c	PE-PGRS family protein
Rv3595c	PE-PGRS family protein
Rv3611	50bp_duplicated
Rv3619c	50bp_duplicated
Rv3620c	50bp_duplicated
Rv3621c	PPE family protein
Rv3622c	PE family protein
Rv3636	transposase
Rv3637	transposase
Rv3638	transposase
Rv3639c	50bp_duplicated
Rv3640c	transposase
Rv3650	PE family protein
Rv3680	50bp_duplicated
Rv3710	50bp_duplicated
Rv3738c	PPE family protein
Rv3739c	PPE family protein
Rv3746c	PE family protein
Rv3798	transposase
Rv3812	PE-PGRS family protein
Rv3826	50bp_duplicated
Rv3827c	transposase
Rv3828c	resolvase
Rv3844	transposase
Rv3873	PPE family protein
Rv3876	50bp_duplicated
Rv3892c	PPE family protein
Rv3893c	PE family protein
IG1195_Rv1174c-Rv1175c	
IG127_Rv0126-Rv0127	
IG1711_Rv1682-Rv1683	
IG18_Rv0018c-Rv0019c	
IG3012_Rv2965c-Rv2966c	
IG3013_Rv2966c-Rv2967c	
IG533_Rv0525-Rv0526	
IG559_Rv0551c-Rv0552	
IG622_Rv0612-Rv0613c	
IG71_Rv0071-Rv0072	
IG784_Rv0769-Rv0770	
IG877_Rv0861c-Rv0862c	
